요일,기상상태,가해운전자 성별,가해운전자 연령,시간대,월,도로위험도
월요일,맑음/흐림,남,25-64세,야간,6월,0.136
금요일,비,남,25-64세,주간,6월,1.201
월요일,맑음/흐림,남,65세 이상,주간,7월,0.068
토요일,비,남,25-64세,주간,7월,0.068
수요일,맑음/흐림,남,25-64세,주간,8월,0.136
월요일,맑음/흐림,남,25-64세,주간,8월,0.068
금요일,맑음/흐림,남,24세 이하,주간,9월,0.204
토요일,맑음/흐림,남,65세 이상,주간,9월,0.068
월요일,맑음/흐림,남,25-64세,주간,9월,2.88
수요일,맑음/흐림,남,25-64세,주간,10월,0.509
수요일,맑음/흐림,남,25-64세,주간,10월,0.068
금요일,비,남,25-64세,야간,11월,0.136
수요일,비,남,25-64세,주간,11월,0.068
일요일,맑음/흐림,남,25-64세,야간,11월,2.336
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,야간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,12월,0.136
월요일,맑음/흐림,남,25-64세,야간,12월,0.136
화요일,맑음/흐림,남,25-64세,주간,12월,10.068
월요일,맑음/흐림,남,25-64세,주간,1월,0.068
화요일,맑음/흐림,남,25-64세,주간,2월,1.168
수요일,맑음/흐림,남,25-64세,주간,2월,0.068
수요일,맑음/흐림,남,25-64세,주간,2월,0.068
화요일,맑음/흐림,남,25-64세,주간,2월,0.068
목요일,맑음/흐림,남,25-64세,주간,3월,1.337
토요일,맑음/흐림,남,25-64세,주간,3월,0.068
월요일,맑음/흐림,남,25-64세,주간,4월,10
월요일,맑음/흐림,남,25-64세,주간,4월,0.136
토요일,맑음/흐림,남,25-64세,주간,4월,0.136
토요일,맑음/흐림,남,25-64세,주간,4월,0.408
월요일,맑음/흐림,여,25-64세,주간,4월,0.068
월요일,맑음/흐림,남,25-64세,주간,4월,0.136
수요일,맑음/흐림,남,25-64세,주간,5월,0.068
목요일,맑음/흐림,남,25-64세,주간,5월,3.22
토요일,맑음/흐림,남,25-64세,주간,5월,0.068
목요일,맑음/흐림,남,25-64세,주간,6월,10.272
목요일,맑음/흐림,여,25-64세,주간,6월,0.136
수요일,맑음/흐림,남,25-64세,주간,6월,0.068
화요일,맑음/흐림,남,25-64세,야간,6월,1.168
월요일,비,남,25-64세,주간,7월,0.204
목요일,맑음/흐림,남,24세 이하,주간,7월,1.168
금요일,맑음/흐림,남,25-64세,주간,7월,0.068
금요일,맑음/흐림,남,25-64세,야간,7월,0.136
금요일,맑음/흐림,남,25-64세,주간,7월,1.168
금요일,비,남,25-64세,주간,7월,0.068
금요일,맑음/흐림,남,25-64세,야간,8월,0.068
목요일,맑음/흐림,남,25-64세,주간,8월,1.168
월요일,맑음/흐림,남,25-64세,주간,8월,1.304
화요일,맑음/흐림,남,25-64세,주간,8월,0.068
수요일,맑음/흐림,남,25-64세,주간,9월,0.136
토요일,맑음/흐림,남,25-64세,주간,10월,1.168
화요일,맑음/흐림,남,24세 이하,주간,10월,0.099
화요일,맑음/흐림,남,25-64세,주간,10월,1.168
목요일,맑음/흐림,남,25-64세,야간,10월,0.136
월요일,맑음/흐림,남,25-64세,주간,10월,0.068
목요일,맑음/흐림,남,25-64세,주간,10월,0.068
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,10
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,1.168
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,비,남,25-64세,야간,11월,1.168
금요일,맑음/흐림,남,25-64세,주간,12월,12.404
화요일,맑음/흐림,남,25-64세,주간,12월,1.304
화요일,맑음/흐림,남,25-64세,주간,12월,1.168
수요일,맑음/흐림,남,25-64세,주간,12월,0.068
토요일,맑음/흐림,남,25-64세,주간,12월,0.068
목요일,맑음/흐림,남,25-64세,야간,12월,10.033
목요일,맑음/흐림,남,25-64세,주간,12월,0.136
토요일,맑음/흐림,남,25-64세,주간,12월,1.168
금요일,맑음/흐림,남,25-64세,야간,12월,0.136
금요일,맑음/흐림,남,24세 이하,주간,2월,2.744
토요일,맑음/흐림,남,25-64세,주간,5월,0.204
화요일,맑음/흐림,남,25-64세,주간,5월,0.068
목요일,맑음/흐림,남,25-64세,주간,7월,0.136
목요일,맑음/흐림,남,25-64세,주간,7월,0.068
토요일,맑음/흐림,남,65세 이상,주간,8월,0.476
금요일,맑음/흐림,여,25-64세,주간,5월,0.204
월요일,맑음/흐림,남,25-64세,주간,8월,0.068
토요일,맑음/흐림,남,25-64세,주간,10월,0.204
수요일,맑음/흐림,남,25-64세,야간,11월,0.136
수요일,맑음/흐림,남,25-64세,주간,11월,0.068
화요일,맑음/흐림,남,25-64세,주간,11월,0.204
화요일,맑음/흐림,남,25-64세,주간,11월,0.136
수요일,맑음/흐림,남,25-64세,주간,11월,0.136
화요일,맑음/흐림,남,25-64세,주간,12월,1.304
월요일,맑음/흐림,남,25-64세,주간,12월,1.234
화요일,눈,남,25-64세,주간,1월,0.068
토요일,맑음/흐림,남,25-64세,주간,2월,0.34
목요일,맑음/흐림,남,25-64세,주간,2월,0.068
화요일,맑음/흐림,남,65세 이상,주간,4월,0.136
수요일,맑음/흐림,남,25-64세,주간,6월,1.304
금요일,맑음/흐림,남,25-64세,주간,12월,2.336
금요일,맑음/흐림,남,25-64세,야간,2월,2.472
금요일,맑음/흐림,남,25-64세,주간,4월,1.168
금요일,맑음/흐림,남,25-64세,주간,4월,0.136
토요일,맑음/흐림,남,25-64세,주간,5월,1.168
목요일,맑음/흐림,남,25-64세,주간,5월,0.136
화요일,맑음/흐림,남,25-64세,야간,5월,0.204
금요일,맑음/흐림,남,25-64세,주간,7월,0.068
목요일,맑음/흐림,남,25-64세,주간,7월,1.168
화요일,비,남,65세 이상,야간,7월,0.068
일요일,맑음/흐림,남,65세 이상,주간,7월,15.84
수요일,맑음/흐림,남,25-64세,주간,7월,0.068
수요일,맑음/흐림,남,25-64세,주간,8월,1.304
월요일,맑음/흐림,남,25-64세,주간,8월,1.168
목요일,맑음/흐림,남,25-64세,주간,9월,2.404
월요일,맑음/흐림,남,25-64세,주간,9월,0.068
토요일,맑음/흐림,남,25-64세,주간,10월,2.336
목요일,맑음/흐림,남,25-64세,야간,11월,1.236
화요일,맑음/흐림,남,25-64세,야간,12월,1.168
월요일,맑음/흐림,남,25-64세,주간,1월,0.068
목요일,비,남,25-64세,야간,1월,0.068
수요일,맑음/흐림,남,25-64세,야간,3월,1.168
목요일,비,남,65세 이상,주간,4월,0.068
수요일,맑음/흐림,남,25-64세,주간,5월,0.068
화요일,맑음/흐림,남,25-64세,주간,5월,0.068
수요일,맑음/흐림,남,25-64세,야간,6월,11.168
수요일,맑음/흐림,남,25-64세,야간,6월,1.168
수요일,맑음/흐림,남,25-64세,야간,7월,2.336
토요일,맑음/흐림,남,25-64세,주간,8월,0.068
월요일,맑음/흐림,남,25-64세,야간,8월,0.136
일요일,맑음/흐림,남,25-64세,주간,9월,0.204
월요일,안개,남,25-64세,야간,10월,1.236
월요일,맑음/흐림,남,25-64세,주간,10월,0.068
목요일,맑음/흐림,남,25-64세,주간,12월,0.068
화요일,맑음/흐림,남,25-64세,주간,12월,10
일요일,맑음/흐림,남,25-64세,야간,1월,1.168
월요일,맑음/흐림,남,25-64세,야간,1월,10.136
수요일,맑음/흐림,남,25-64세,주간,3월,1.168
수요일,맑음/흐림,남,25-64세,주간,3월,1.236
목요일,맑음/흐림,남,65세 이상,야간,3월,1.168
토요일,맑음/흐림,남,25-64세,주간,4월,0.136
금요일,맑음/흐림,남,25-64세,주간,5월,0.068
월요일,맑음/흐림,남,25-64세,주간,5월,0.068
월요일,맑음/흐림,남,25-64세,주간,5월,0.068
화요일,맑음/흐림,남,25-64세,주간,5월,0.136
화요일,맑음/흐림,남,25-64세,주간,6월,10
목요일,맑음/흐림,남,25-64세,야간,7월,20
금요일,맑음/흐림,남,25-64세,야간,7월,0.068
월요일,맑음/흐림,남,25-64세,야간,9월,11.236
화요일,맑음/흐림,남,25-64세,주간,9월,0.068
일요일,맑음/흐림,남,65세 이상,야간,9월,10
화요일,비,남,25-64세,주간,10월,0.136
금요일,비,남,25-64세,야간,10월,1.168
수요일,맑음/흐림,남,25-64세,야간,11월,0.068
수요일,비,남,65세 이상,주간,11월,0.068
화요일,비,남,25-64세,야간,12월,0.136
화요일,비,남,25-64세,주간,2월,10
금요일,맑음/흐림,남,25-64세,주간,3월,0.068
화요일,맑음/흐림,남,25-64세,주간,4월,12.573
수요일,맑음/흐림,남,25-64세,야간,4월,1.168
금요일,맑음/흐림,남,65세 이상,야간,5월,1.236
월요일,맑음/흐림,남,25-64세,주간,5월,11.236
토요일,맑음/흐림,남,25-64세,야간,6월,1.168
토요일,맑음/흐림,남,25-64세,야간,8월,1.168
